1, 2, 3, 4, 5, 6, 7, 8, 100, 54, 67
1, 2, 3, 4, 67, 6, 7, 8, 100, 54, 5
1, 100, 3, 4, 5, 6, 7, 8, 100, 54, 2
4, 2, 3, 1, 5, 6, 7, 8, 100, 54, 67
54, 67, 1, 2, 3, 4, 5, 6, 7, 8, 100
1, 2, 3, 4, 5, 6, 7, 8, 100, 54, 67
1, 2, 3, 4, 67, 6, 7, 8, 100, 54, 5
1, 100, 3, 4, 5, 6, 7, 8, 100, 54, 2
4, 2, 3, 1, 5, 6, 7, 8, 100, 54, 67
54, 67, 1, 2, 3, 4, 5, 6, 7, 8, 100
1, 2, 3, 4, 5, 6, 7, 8, 100, 54, 67
1, 2, 3, 4, 67, 6, 7, 8, 100, 54, 5
1, 100, 3, 4, 5, 6, 7, 8, 100, 54, 2
4, 2, 3, 1, 5, 6, 7, 8, 100, 54, 67
54, 67, 1, 2, 3, 4, 5, 6, 7, 8, 100
1, 2, 3, 4, 5, 6, 7, 8, 100, 54, 67
1, 2, 3, 4, 67, 6, 7, 8, 100, 54, 5
1, 100, 3, 4, 5, 6, 7, 8, 100, 54, 2
4, 2, 3, 1, 5, 6, 7, 8, 100, 54, 67
54, 67, 1, 2, 3, 4, 5, 6, 7, 8, 100
